t,imu_gx,imu_gy,imu_gz,imu_ax,imu_ay,imu_az,gps_t,gps_px,gps_py,gps_pz,gps_vx,gps_vy,gps_vz,gps_valid,baro_alt,baro_valid
0.135000,0.073793,-0.099532,0.003130,-0.012914,1.214078,-9.936859,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.137500,-0.146040,-0.088325,0.150441,0.237972,2.175059,-14.471297,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.140000,0.019439,0.081748,0.085012,1.527527,-0.456209,-9.353519,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,61.8047,1
0.142500,-0.085676,0.005128,-0.025625,4.024774,0.951753,-10.653007,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.145000,0.067164,0.078005,0.068010,1.709121,0.804019,-7.410029,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.147500,0.138693,0.005191,0.024600,3.887720,2.637049,-9.398513,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.150000,0.028498,0.008411,-0.015971,4.024526,1.707022,-9.886068,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.152500,0.109531,0.106572,0.008205,-3.144324,-0.326647,-7.917459,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.155000,0.025323,-0.016231,-0.053473,0.164729,-2.569367,-10.546800,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.157500,0.147380,-0.112235,-0.207355,0.975672,-2.359914,-10.871008,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.160000,-0.034397,-0.071316,-0.085124,1.221102,3.042124,-12.164755,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,63.6404,1
0.162500,0.088731,-0.066757,0.101230,0.691359,0.650635,-3.551510,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.165000,0.070256,-0.094237,-0.139891,1.102418,0.769687,-13.783147,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.167500,-0.097191,0.076394,0.010632,-0.740289,-0.173754,-9.351587,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.170000,-0.113618,-0.105387,0.033223,0.880524,1.814693,-12.131532,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.172500,0.108525,-0.063660,-0.081925,-0.387799,-0.003652,-10.532954,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.175000,-0.124105,0.010918,-0.103314,-0.815411,4.039745,-10.359927,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.177500,-0.184491,-0.027861,-0.082384,3.301451,0.978223,-7.181918,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.180000,0.048422,0.120455,0.169054,-0.035220,0.070780,-9.896638,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,63.2230,1
0.182500,-0.031991,0.037508,-0.288735,1.411068,2.320019,-9.329732,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.185000,0.227874,0.003695,0.045110,-0.994556,2.660608,-10.876801,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.187500,0.007060,-0.024391,-0.006321,-0.082044,-1.564867,-8.060366,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.190000,-0.149471,0.026843,0.077845,-2.404324,0.807419,-8.982445,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.192500,0.135085,-0.007073,0.039545,2.170554,2.878266,-6.320566,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.195000,0.037633,0.070910,-0.033210,-0.399297,1.187523,-9.903501,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.197500,-0.023765,-0.029777,0.066232,-1.660078,-2.122513,-9.805555,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.200000,0.108176,0.122672,0.024543,-3.930257,-0.008830,-9.919259,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,63.2710,1
0.202500,0.047365,-0.120257,-0.016134,-0.645136,1.004049,-11.821458,0.002500,-2.1857,-0.4795,-63.9242,-0.095832,-0.041271,0.224241,1,0.0000,0
0.205000,0.149020,-0.041704,0.117482,0.667253,0.808351,-10.217475,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.207500,-0.155671,-0.087345,0.026927,0.036899,-2.309975,-10.368710,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.210000,-0.037212,-0.135840,-0.150120,1.296218,0.043153,-9.689371,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.212500,0.053084,0.101334,0.128432,-0.881078,2.372104,-6.751746,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.215000,0.087661,0.152714,-0.022925,-2.280466,-1.669955,-7.302812,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.217500,0.003939,-0.071010,-0.019339,1.135250,-2.057727,-9.009398,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.220000,0.141797,-0.012525,0.133106,-1.357258,-0.606680,-11.282262,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,62.9512,1
0.222500,-0.034800,0.105873,0.107298,0.459632,1.299175,-8.964518,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.225000,-0.138142,-0.114728,-0.032045,0.433116,2.865048,-14.812409,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.227500,-0.187189,-0.007725,-0.095514,-0.393278,-0.807412,-12.208622,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.230000,0.066909,0.002884,-0.133375,-2.210720,1.629218,-11.510533,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.232500,0.199669,-0.118849,-0.088384,-0.083085,1.420473,-6.042271,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.235000,-0.084316,0.232104,0.034008,-0.871026,-1.428091,-11.334558,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.237500,0.136140,-0.000508,0.133311,-3.191314,-4.579896,-12.300946,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.240000,-0.108629,-0.114469,0.012896,1.549135,1.052229,-11.009477,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,62.5379,1
0.242500,0.010447,-0.037266,-0.176518,3.797614,-1.141780,-7.820877,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.245000,-0.000207,0.177898,-0.043962,-1.019962,-1.336996,-8.361558,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.247500,0.063012,0.157631,0.149204,-1.241405,1.244124,-8.610078,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.250000,-0.213409,-0.197472,0.083847,1.158112,-0.516247,-7.522934,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.252500,-0.209266,0.029705,0.088798,0.770123,-0.957796,-10.699111,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
0.255000,-0.244433,-0.095708,0.127529,1.659009,1.428036,-10.412691,0.000000,0.0000,0.0000,0.0000,0.000000,0.000000,0.000000,0,0.0000,0
