t,sensor,innov_0,innov_1,innov_2,innov_3,innov_4,innov_5,nis,dim,accepted
0.702500,GPS,0.86338321,-2.12348580,-1.12868123,-0.29721224,-0.15764725,0.15470648,3.928520,6,1
0.702500,MAG,0.37981932,-0.41019277,0.87574416,0.00000000,0.00000000,0.00000000,1.639490,3,1
0.702500,BARO,-0.43029966,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.619606,1,1
0.722500,MAG,0.12566669,-0.15867474,0.12648714,0.00000000,0.00000000,0.00000000,0.082946,3,1
0.722500,BARO,0.71750675,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.769148,1,1
0.742500,MAG,-0.32986339,0.53885598,2.24562960,0.00000000,0.00000000,0.00000000,8.100707,3,1
0.742500,BARO,-0.06568540,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.015120,1,1
0.762500,MAG,0.38709782,-0.54544570,1.01624601,0.00000000,0.00000000,0.00000000,2.248098,3,1
0.762500,BARO,-0.11062932,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.043536,1,1
0.782500,MAG,0.23307693,1.13654512,1.43797759,0.00000000,0.00000000,0.00000000,5.101210,3,1
0.782500,BARO,-0.04711005,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.007989,1,1
0.802500,MAG,0.84342412,0.71136814,0.73803953,0.00000000,0.00000000,0.00000000,2.661312,3,1
0.802500,BARO,-0.95523279,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,3.315997,1,1
0.805000,GPS,-0.90586254,2.22837422,-0.61456672,-0.33778507,0.36723816,-0.06402529,5.431591,6,1
0.822500,MAG,-1.37067887,0.72312090,1.59200289,0.00000000,0.00000000,0.00000000,6.621085,3,1
0.822500,BARO,0.04051662,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.005893,1,1
0.842500,MAG,2.61298807,-0.82929092,1.31479956,0.00000000,0.00000000,0.00000000,13.642052,3,1
0.842500,BARO,0.34955579,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.442947,1,1
0.862500,MAG,0.72325566,0.33938115,2.01660966,0.00000000,0.00000000,0.00000000,7.313568,3,1
